Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,0
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,0
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,0
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0
